sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
518,CC:2F:71:3E:C5:1F,3751077,473138312,89,12040,3750988,473126272,0,376,35833,278,21409,98,14424,124,2,125,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-69.0,-71.0,-67.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
519,CC:2F:71:3F:1F:24,3778228,497299498,27240,24173226,3750988,473126272,8,16604,4778739,16479,4757798,125,20941,15398,7,27265,7587,8,46,117000.0,39000.0,-69.0,-67.0,-71.0,-68.0,-69.0,-67.0,-70.0,-68.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,17.0,23.0,1
520,92:69:1D:31:68:E9,3763599,488322073,12611,15195801,3750988,473126272,3,18618,3493606,17950,3340094,668,153512,6332,101,13799,245,3,240,229410.0,130000.0,-52.0,-46.0,-43.0,-49.0,-51.0,-48.0,-43.0,-49.0,-90.0,-92.0,-88.0,-91.0,38.0,46.0,45.0,42.0,1
521,BA:8C:B9:54:50:24,3751119,473168833,125,41955,3750994,473126878,0,421,69263,404,66555,17,2708,123,1,152,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
522,CC:2F:71:3E:C5:1F,3751083,473138918,89,12040,3750994,473126878,0,376,35833,278,21409,98,14424,124,2,125,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-69.0,-71.0,-67.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
523,CC:2F:71:3F:1F:24,3778274,497314280,27280,24187402,3750994,473126878,8,16625,4782473,16500,4761532,125,20941,15418,7,27305,7589,8,46,130000.0,43333.0,-69.0,-67.0,-71.0,-68.0,-69.0,-67.0,-70.0,-68.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,17.0,23.0,1
524,92:69:1D:31:68:E9,3763605,488322679,12611,15195801,3750994,473126878,3,18618,3493606,17950,3340094,668,153512,6332,101,13799,245,3,240,229410.0,130000.0,-52.0,-46.0,-43.0,-49.0,-51.0,-48.0,-43.0,-49.0,-90.0,-92.0,-88.0,-91.0,38.0,46.0,45.0,42.0,1
525,BA:8C:B9:54:50:24,3751121,473169035,125,41955,3750996,473127080,0,421,69263,404,66555,17,2708,123,1,152,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-41.0,-35.0,-43.0,-47.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
526,CC:2F:71:3E:C5:1F,3751085,473139120,89,12040,3750996,473127080,0,376,35833,278,21409,98,14424,124,2,125,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-69.0,-71.0,-67.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
527,CC:2F:71:3F:1F:24,3778322,497332057,27326,24204977,3750996,473127080,8,16656,4787826,16531,4766885,125,20941,15446,7,27351,7600,8,46,130000.0,39000.0,-69.0,-67.0,-71.0,-69.0,-69.0,-67.0,-71.0,-69.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,17.0,22.0,1
